# <name>                <type>   <nobility?> <species>...
# Note: 
"Hetbegel"      	.Family 	yea 	.Hg	  -	 -
"Heteld"        	.Family 	  - 	.Hg	  -	 -
"Myalbaren"     	.Family 	  - 	  -	.Cg	 -
"Mig-pradan"    	.Family 	  - 	.Hg	  -	 -
"Pradanmig"     	.Family 	  - 	.Hg	.Cg	 -
"Magaren"       	.Family 	  - 	.Hg	  -	 -
"Ep-pradan"     	.Family 	  - 	.Hg	  -	 -
"Pradanep"      	.Family 	  - 	.Hg	.Cg	 -
"Epruren"       	.Family 	  - 	.Hg	  -	 -
"Zilodothrod"   	.Family 	  - 	.Hg	.Cg	 -
"Hub-Thrododo"  	.Family 	  - 	.Hg	.Cg	 -
"Hubodothrod"   	.Family 	  - 	.Hg	.Cg	 -
"Hub-Selodo"    	.Family 	  - 	.Hg	.Cg	 -
"Hubodosel"     	.Family 	  - 	.Hg	.Cg	 -
"Mirdruin"      	.Family 	  - 	.Hg	.Cg	 -
"Mirdrenold"    	.Family 	  - 	.Hg	.Cg	 -
"Leqhyebundib"  	.Family 	  - 	.Hg	.Cg	 -
"Tharnsthem"    	.Family 	  - 	.Hg	  -	 -
"Kyermpunbyor"  	.Family 	  - 	.Hg	.Cg	 -
"Shagranast"    	.Family 	  - 	.Hg	  -	 -
"Ast-shagraren" 	.Family 	  - 	  -	.Cg	 -
"Tyeburenet"    	.Family 	  - 	.Hg	  -	 -
"Đendurl"       	.Family 	  - 	.Hg	  -	 -
"Baraldlaent"   	.Family 	  - 	.Hg	  -	 -
"Ubetalrego"    	.Family 	  - 	  -	.Cg	 -
"Irtur"         	.Family 	  - 	.Hg	  -	 -
"Nabram"        	.Family 	  - 	.Hg	.Cg	 -
"Leqyarbald"    	.Family 	  - 	.Hg	  -	 -
"Dalgyebin"     	.Family 	  - 	.Hg	  -	 -
"Irgyilbehl"    	.Family 	  - 	.Hg	.Cg	 -
"Urkdal"        	.Family 	yea 	.Hg	.Cg	 -
"Limdurlbehl"   	.Family 	  - 	.Hg	.Cg	 -
"Tyalirbehl"    	.Family 	  - 	.Hg	.Cg	 -
"Incargald"     	.Family 	  - 	.Hg	.Cg	 -
"Nalgcagren"    	.Family 	  - 	  -	.Cg	 -
"Elhegohel"     	.Family 	  - 	.Hg	  -	 -
"Lepcagren"     	.Family 	  - 	.Hg	.Cg	 -
"Gemshcagren"   	.Family 	  - 	.Hg	.Cg	 -
"Greshuren"     	.Family 	  - 	.Hg	.Cg	 -
"Beruren"       	.Either 	  - 	  -	.Cg	 -
"Nabdruin"      	.Given  	  - 	.Hg	  -	 -
"Obnabram"      	.Given  	  - 	  -	.Cg	 -
"Baraldzyl"     	.Given  	  - 	.Hg	  -	 -
"Hubsel"        	.Given  	  - 	  -	.Cg	 -
"Korhub"        	.Given  	  - 	.Hg	.Cg	 -
"Lestngol"      	.Given  	  - 	.Hg	.Cg	 -
"Neyl"          	.Given  	  - 	.Hg	.Cg	 -
"Druinojstil"   	.Given  	  - 	  -	.Cg	 -
"Thob"          	.Given  	  - 	.Hg	.Cg	 -
"Nath"          	.Given  	  - 	.Hg	.Cg	 -
"Dorazilasto"   	.Given  	  - 	.Hg	.Cg	 -
"Throdaurmishi" 	.Given  	  - 	.Hg	.Cg	 -
"Limnnavk"      	.Given  	  - 	.Hg	  -	.H
"Dremuldkor"    	.Given  	  - 	  -	.Cg	 -
"Solglimel"     	.Given  	  - 	  -	.Cg	 -
"Berujdib"      	.Given  	  - 	.Hg	  -	 -
"Berujkor"      	.Given  	  - 	.Hg	  -	 -
"Etbinak"       	.Given  	  - 	  -	.Cg	 -
"Turbinak"      	.Given  	  - 	  -	.Cg	 -
"Kurtem"        	.Given  	  - 	  -	.Cg	 -
"Kurdruin"      	.Given  	  - 	  -	.Cg	 -
"Kulbin"        	.Given  	  - 	.Hg	.Cg	 -
"Zilold"        	.Given  	  - 	.Hg	.Cg	 -
"Zilpradald"    	.Given  	  - 	.Hg	.Cg	 -
"Pradaldzin"    	.Given  	yea 	.Hg	.Cg	 -
"Obthol"        	.Given  	  - 	.Hg	  -	.H
"Dyemuramtold"  	.Given  	  - 	.Hg	.Cg	 -
"Kasdruin"      	.Given  	  - 	.Hg	.Cg	 -
"Arbald"        	.Given  	  - 	.Hg	  -	.H
"Arbaldnak"     	.Given  	yea 	  -	.Cg	 -
"Serbuld"       	.Given  	  - 	.Hg	  -	.H
"Zylram"        	.Given  	  - 	  -	.Cg	 -
"Biraldmag"     	.Given  	  - 	.Hg	.Cg	 -
"Aknimb"        	.Given  	  - 	.Hg	  -	.H
"Nimbak"        	.Given  	  - 	  -	.Cg	 -
"Lyehuld"       	.Given  	  - 	  -	.Cg	 -
"Zagnold"       	.Given  	yea 	.Hg	.Cg	 -
"Prakkul"       	.Given  	  - 	.Hg	.Cg	 -
"Elheguren"     	.Given  	  - 	  -	.Cg	 -
"Bakel"         	.Given  	  - 	  -	.Cg	 -
"Nabthad"       	.Given  	  - 	.Hg	.Cg	 -
"Kelzgan"       	.Given  	  - 	.Hg	.Cg	 -
"Dyamaldserb"   	.Given  	  - 	.Hg	  -	 -
"Dimaldzgan"    	.Given  	  - 	.Hg	  -	.H
"Baraldyard"    	.Given  	  - 	.Hg	.Cg	 -
"Nalgmor"       	.Given  	  - 	.Hg	.Cg	 -

# Human names, completely different society and language
#"Lit"           	.Given  	  -	  -	.N	    -
#"Het"           	.Given  	  -	  -	.N	    -
#"Nav"           	.Given  	  -	  -	.N	    -
#"Hagan"         	.Given  	  -	  -	.N	    -
#"Bel"           	.Given  	  -	  -	.N	    -
#"Vest"          	.Given  	  -	  -	.N	    -
#"Il"            	.Given  	  -	  -	.N	    -
#"Van"           	.Given  	  -	  -	.N	    -
#"Lebun"         	.Given  	  -	  -	.N	    -
# Female versions
#"Litin"         	.Given  	  -	  -	.N	    -
#"Hetin"         	.Given  	  -	  -	.N	    -
#"Navus"         	.Given  	  -	  -	.N	    -
#"Haganin"       	.Given  	  -	  -	.N	    -
#"Belus"         	.Given  	  -	  -	.N	    -
#"Vestin"        	.Given  	  -	  -	.N	    -
#"Ilus"          	.Given  	  -	  -	.N	    -
#"Vanin"         	.Given  	  -	  -	.N	    -
#"Lebunin"       	.Given  	  -	  -	.N	    -
