#
# Props for the dungeon.
#
# vim: nowrap colorcolumn=0
#

# Tools props
""                     	 "hammer"               	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .Tools
""                     	 "screwdriver"          	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .Tools
""                     	 "gimlet"               	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .Tools
""                     	 "wolfram drill"        	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .Tools
""                     	 "circular saw"         	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .Tools
""                     	 "chisel set"           	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .Tools
""                     	 "locksmith kit"        	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .Tools
""                     	 "wolfram hammer"       	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .Tools
""                     	 "mallet"               	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .Tools
""                     	 "headlight"            	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .Tools
""                     	 "tinder box"           	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .Tools

# Wearables props
""                     	 "ripped jacket"        	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .Wearables
""                     	 "torn leather armor"   	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .Wearables
""                     	 "dirty rags"           	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .Wearables
""                     	 "torn gambeson"        	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .Wearables
""                     	 "split hauberk"        	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .Wearables
""                     	 "red tunic"            	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .Wearables
""                     	 "teal tunic"           	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .Wearables
""                     	 "green tunic"          	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .Wearables
