# vim: nowrap
#
# Spawn tables for various special cases.
#

# Classes:
#     g: stair guardian
#     C: coroner reinforcements
#     p: corridor patrol (LAB/WRK only); MUST have guard AI that patrols based
#        on the two coords in ai.work_area
#     r: direct reinforcement summoned when lots of Necromancer-faction guys
#        get scared
#     a: assault waves
#     h: hunter waves (on upper levels)

# note: some have values for crypt, when reinforcements shouldn't be sent out,
# in order to not break profiler (which does everything on floor 0)

#
# monster id               class      -8/Pri  -7/Pri  -6/Wrk  -6/Sin  -6/Wrk2 -6/Wrk3  -6/Nec  -5/Pri  -5/Cav -5/Cav2 -5/Cav3  -5/Tem  -4/Pri  -3/Vlt  -3/Sin   3/Lab2 3/Lab3  3/Hold -2/Pri  -1/Pri -1/Cry -1/Cry2 -1/Cry3

"mellaent"             	    "g" 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	 100 	   - 	   - 	   - 	   - 	   - 	   - 	  - 	   - 	  - 	  - 	  -

"guard"                	    "g" 	 100 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	  - 	   - 	  - 	  - 	  -
"defender"             	    "g" 	   - 	 100 	 100 	   - 	   - 	   - 	   - 	 100 	  90 	  90 	  90 	   - 	   - 	   5 	   - 	   5 	   5 	   - 	  - 	   - 	  - 	  - 	  -
"armored_guard"        	    "g" 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	  10 	  10 	   - 	  90 	  90 	   - 	  90 	  90 	  90 	 90 	  90 	  - 	  - 	  -
"iron_spire"           	    "g" 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	  10 	  20 	  30 	   - 	  10 	  10 	   - 	  10 	  10 	  20 	 10 	  10 	  - 	  - 	  -
"lightning_spire"      	    "g" 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	  10 	  20 	  30 	   - 	  10 	  10 	   - 	  10 	  10 	  20 	 10 	  10 	  - 	  - 	  -
"hulk_writhing"        	    "g" 	   - 	   - 	   - 	 100 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	 100 	   - 	   - 	   - 	  - 	   - 	  - 	  - 	  -
"skeleton"             	    "g" 	   - 	   - 	   - 	   - 	   - 	   - 	 100 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	  - 	   - 	  - 	  - 	  -

#"guard"               	    "C" 	 100 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	  - 	   - 	  - 	  - 	  -
"bone_rat"             	    "C" 	 100 	 100 	 100 	   - 	  50 	  20 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	  - 	   - 	  - 	  - 	  -
"skeleton"             	    "C" 	   - 	   - 	   - 	   - 	  50 	  80 	 100 	 100 	   - 	   - 	   - 	   - 	 100 	 100 	   - 	 100 	  90 	  40 	  - 	   - 	  - 	  - 	  -
"skeletal_blademaster" 	    "C" 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	  10 	  60 	100 	 100 	  - 	  - 	  -

"bone_mage"            	    "r" 	 100 	 100 	 100 	   - 	 100 	  80 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	  - 	   - 	  - 	  - 	  -
"death_knight"         	    "r" 	   - 	   - 	   - 	   - 	   - 	  20 	   - 	 100 	   - 	   - 	   - 	   - 	 100 	 100 	   - 	 100 	  90 	  40 	  - 	   - 	  - 	  - 	  -
"death_mage"           	    "r" 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	  10 	  60 	100 	 100 	  - 	  - 	  1

"guard"                	    "p" 	   - 	   - 	 100 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	  40 	   - 	  10 	   - 	   - 	  - 	   - 	  - 	  - 	  -
"armored_guard"        	    "p" 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	  60 	   - 	  90 	 100 	 100 	  - 	   - 	  - 	  - 	  -

"guard"                	    "a" 	 100 	 100 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	  - 	   - 	  - 	  - 	  -
"ember_mage"           	    "a" 	   - 	   - 	  40 	   - 	  40 	  40 	   - 	  40 	   - 	   - 	   - 	   - 	  40 	   - 	   - 	   - 	   - 	   - 	  - 	   - 	  - 	  - 	  -
"brimstone_mage"       	    "a" 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	  40 	   - 	  40 	  40 	  40 	 40 	  40 	  - 	  - 	  -
"spark_mage"           	    "a" 	   - 	   - 	  40 	   - 	  40 	  40 	   - 	  40 	   - 	   - 	   - 	   - 	  40 	   - 	   - 	   - 	   - 	   - 	  - 	   - 	  - 	  - 	  -
"lightning_mage"       	    "a" 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	  40 	   - 	  40 	  40 	  40 	 40 	  40 	  - 	  - 	  -
"bone_mage"            	    "a" 	   - 	   - 	  20 	   - 	  20 	  20 	 100 	  20 	   - 	   - 	   - 	   - 	  20 	   - 	   - 	   - 	   - 	   - 	  - 	   - 	  - 	  - 	  -
"death_mage"           	    "a" 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	  20 	   - 	  20 	  20 	  20 	 20 	  20 	  - 	  - 	  -

"mellaent"             	    "h" 	 100 	 100 	 100 	   - 	 100 	 100 	 100 	 100 	 100 	 100 	 100 	 100 	 100 	 100 	 100 	 100 	 100 	 100 	  - 	   - 	100 	100 	100
"warrior"              	    "h" 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	 50 	  30 	  - 	  - 	  -
"brimstone_mage"       	    "h" 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	 50 	  30 	  - 	  - 	  -
"lightning_mage"       	    "h" 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	 50 	  30 	  - 	  - 	  -
"skeletal_blademaster" 	    "h" 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	 20 	  20 	  - 	  - 	  -
"death_mage"           	    "h" 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	  - 	  20 	  - 	  - 	  -

# monster id               class      -8/Pri  -7/Pri  -6/Wrk  -6/Sin  -6/Wrk2 -6/Wrk3  -6/Nec  -5/Pri  -5/Cav -5/Cav2 -5/Cav3  -5/Tem  -4/Pri  -3/Vlt  -3/Sin   3/Lab2 3/Lab3  3/Hold -2/Pri  -1/Pri -1/Cry -1/Cry2 -1/Cry3
