# vim: nowrap
#
# Spawn tables.
#

#
# monster id            -8/Pri  -7/Pri  -6/Lab  -5/Sin   -5/Pri  -5/Smi  -4/Pri -3/Vlt  -3/Sin   -2/Pri -1/Pri -1/Cry -1/Cry2 -1/Cry3

"guard"               	 100 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	  - 	   - 	  - 	  - 	  -
"armored_guard"       	   - 	   - 	   - 	   - 	   - 	   - 	  90 	  90 	  90 	 90 	  90 	  - 	  - 	  -
"defender"            	   - 	 100 	 100 	   - 	 100 	  90 	   - 	   - 	   - 	  - 	   - 	  - 	  - 	  -

"iron_spire"          	   - 	   - 	   - 	   - 	   - 	  10 	  10 	  10 	  10 	 10 	  10 	  - 	  - 	  -
"lightning_spire"     	   - 	   - 	   - 	   - 	   - 	  10 	  10 	  10 	  10 	 10 	  10 	  - 	  - 	  -

"hulk_writhing"       	   - 	   - 	   - 	 100 	   - 	   - 	   - 	   - 	 100 	  - 	   - 	  - 	  - 	  -

# monster id            -8/Pri  -7/Pri  -6/Lab  -5/Sin   -5/Pri  -5/Smi  -4/Pri -3/Vlt  -3/Sin   -2/Pri -1/Pri -1/Cry -1/Cry2 -1/Cry3
