# vim: nowrap
#
# status                status name              status name (unliving)  mini name
.RingTeleportation 	"ring: teleportation" 	 "dancing"             	 -
.RingDamnation     	"ring: damnation"     	 "whistling"           	 -
.RingElectrocution 	"ring: electrocution" 	 "jumping around"      	 -
.RingExcision      	"ring: excision"      	 "pontificating"       	 -
.RingConjuration   	"ring: conjuration"   	 "house of pain"       	 -
.RingAcceleration  	"ring: acceleration"  	 "is in effect"        	 -
.RingDeception     	"ring: deception"     	 "voting for trump"    	 -
.RingConcentration 	"ring: concentration" 	 "using the Force"     	 -
.DetectHeat        	"detect heat"         	 -                     	 -
.DetectElec        	"detect electricity"  	 -                     	 -
.EtherealShield    	"ethereal shield"     	 -                     	 -
.EarthenShield     	"earthen shield"      	 -                     	 -
.FumesVest         	"fuming vest"         	 -                     	 -
.CopperWeapon      	"copper"              	 -                     	 -
.Riposte           	"riposte"             	 -                     	 -
.TormentUndead     	"torment undead"      	 -                     	 -
.Echolocation      	"echolocating"        	 -                     	 -
.Absorbing         	"absorbing"           	 "devouring your soul" 	 "absorbing"
.Amnesia           	"amnesia"             	 -                     	 "amnesia"
.Blind             	"blind"               	 -                     	 "blind"
.Corruption        	"corrupted"           	 "eating cabbage"      	 "corrupt"
.Conductive        	"conductive"          	 -                     	 "conductve"
.Corona            	"glowing"             	 -                     	 "glow"
.Daze              	"dazed"               	 -                     	 "dazed"
.Debil             	"debilitated"         	 -                     	 "debil"
.Disorient         	"disoriented"         	 -                     	 "disorient"
.Enraged           	"enraged"             	 -                     	 "rage"
.Exhausted         	"exhausted"           	 -                     	 "exhaust"
.Explosive         	"explosive"           	 -                     	 -
.ExplosiveElec     	"charged"             	 -                     	 -
.Fast              	"hasted"              	 -                     	 "fast"
.Fear              	"terrified"           	 -                     	 "fear"
.Fire              	"burning"             	 -                     	 "burn"
.Fireproof         	"fireproof"           	 -                     	 "fireproof"
.Flammable         	"flammable"           	 -                     	 "flammable"
.Held              	"held"                	 -                     	 "held"
.Insane            	"insane"              	 -                     	 "insane"
.Intimidating      	"intimidating"        	 -                     	 "intim"
.Invigorate        	"invigorated"         	 -                     	 "invig"
.Lifespan          	"lifespan"            	 -                     	 -
.Nausea            	"nauseated"           	 "making omelette"     	 "nausea"
.Noisy             	"noisy"               	 -                     	 "noisy"
.Pain              	"pain"                	 -                     	 "pain"
.Paralysis         	"paralyzed"           	 -                     	 "para"
.Perceptive        	"perceptive"          	 -                     	 "perceptve"
.Recuperate        	"recuperating"        	 -                     	 "recup"
.RingingEars       	"ringing ears"        	 "[bug] singing"       	 "ringing"
.Sleeping          	"sleeping"            	 "dormant"             	 "sleep"
.Slow              	"slowed"              	 -                     	 "slow"
.DayBlindness      	"day-blinded"         	 -                     	 -
.NightBlindness    	"night-blinded"       	 -                     	 -
